"Thématiques","Critères","Tests","Home","Infolettre","About","Blog","FAQ","Sign Up","Sign In","Newsletter Enrollment","Legal Notices","General Terms of Sale"
"1","1","1","c|les textes alternatifs sont présents pas en anglais sur la version française","c","nc","nc","nc","nc","nc","nc","nc","nc"
"1","1","2","na","na","nc","nc","nc","nc","nc","nc","nc","nc"
"1","1","3","na","na","nc","nc","nc","nc","nc","nc","nc","nc"
"1","1","4","na","na","nc","nc","nc","nc","nc","nc","nc","nc"
"1","1","5","nc|Logo Iroco : un lien avec un svg à l‘intérieur semble être problématique. Aussi des icones font awoseme utilisent le role aria `presentation` ","na","nc","nc","nc","nc","nc","nc","nc","nc"
"1","1","6","na","na","nc","nc","nc","nc","nc","nc","nc","nc"
"1","1","7","na","na","nc","nc","nc","nc","nc","nc","nc","nc"
"1","1","8","na","na","nc","nc","nc","nc","nc","nc","nc","nc"
"3","1","1","na","na","nc","nc","nc","nc","nc","nc","nc","nc"
"3","1","2","na","na","nc","nc","nc","nc","nc","nc","nc","nc"
"3","1","3","na","na","nc","nc","nc","nc","nc","nc","nc","nc"
"3","1","4","na","nc|Inscription infolettre : les validation s de champs obligatoire ne se font qu‘avec un cadre rouge","nc","nc","nc","nc","nc","nc","nc","nc"
"3","1","5","c","c","nc","nc","nc","nc","nc","nc","nc","nc"
"3","1","6","c","c","nc","nc","nc","nc","nc","nc","nc","nc"
"4","1","1","na","na","nc","nc","nc","nc","nc","nc","nc","nc"
"4","1","2","na","na","nc","nc","nc","nc","nc","nc","nc","nc"
"4","1","3","na","na","nc","nc","nc","nc","nc","nc","nc","nc"
"4","10","1","na","na","nc","nc","nc","nc","nc","nc","nc","nc"
"5","3","1","na","na","nc","nc","nc","nc","nc","nc","nc","nc"
"5","7","1","na","na","nc","nc","nc","nc","nc","nc","nc","nc"
"5","7","2","na","na","nc","nc","nc","nc","nc","nc","nc","nc"
"5","7","3","na","na","nc","nc","nc","nc","nc","nc","nc","nc"
"5","7","4","na","na","nc","nc","nc","nc","nc","nc","nc","nc"
"5","7","5","na","na","nc","nc","nc","nc","nc","nc","nc","nc"
"6","1","1","c","c","nc","nc","nc","nc","nc","nc","nc","nc"
"6","1","2","nc|Logo Iroco n‘indique pas clairement le comportement auquel s‘attendre quand on clique dessus. Proposition : accueil Iroco. Mettre un aria label. Detecté facilement par Wave.","c","nc","nc","nc","nc","nc","nc","nc","nc"
"6","1","3","nc| Manque textes pour linkedin et twitter. Commun dans les autres pages","c","nc","nc","nc","nc","nc","nc","nc","nc"
"6","1","4","na","na","nc","nc","nc","nc","nc","nc","nc","nc"
"6","1","5","c","c","nc","nc","nc","nc","nc","nc","nc","nc"
"6","2","1","c","c","nc","nc","nc","nc","nc","nc","nc","nc"
"7","1","1","c","c","nc","nc","nc","nc","nc","nc","nc","nc"
"7","1","2","c","c","nc","nc","nc","nc","nc","nc","nc","nc"
"7","1","3","c","c","nc","nc","nc","nc","nc","nc","nc","nc"
"7","3","1","c","c","nc","nc","nc","nc","nc","nc","nc","nc"
"7","3","2","c","c","nc","nc","nc","nc","nc","nc","nc","nc"
"8","3","1","c","c","nc","nc","nc","nc","nc","nc","nc","nc"
"8","4","1","nc| en fr les alt d‘images sont en anglais","nc| infolettre a lang ‘en‘ mais texte en fr","nc","nc","nc","nc","nc","nc","nc","nc"
"8","5","1","c","c","nc","nc","nc","nc","nc","nc","nc","nc"
"9","1","1","nc| dans le footer on passe de h1 à h3 — faut il un titre caché?","c","nc","nc","nc","nc","nc","nc","nc","nc"
"9","1","2","c","c","nc","nc","nc","nc","nc","nc","nc","nc"
"9","1","3","c","c","nc","nc","nc","nc","nc","nc","nc","nc"
"10","3","1","c","c","nc","nc","nc","nc","nc","nc","nc","nc"
"10","6","1","na","na","nc","nc","nc","nc","nc","nc","nc","nc"
"10","7","1","nc| sur brave et firefox quand on tabule il n‘y a pas de cadre indiquant visuellement où on est.","c","nc","nc","nc","nc","nc","nc","nc","nc"
"11","1","1","c","c| dans l‘iframe il y a un for sur le label mais cliquer dessus ne focus pas l‘input","nc","nc","nc","nc","nc","nc","nc","nc"
"11","1","2","c","nc| iframe il y a un name mais pas d‘id","nc","nc","nc","nc","nc","nc","nc","nc"
"11","1","3","na","na","nc","nc","nc","nc","nc","nc","nc","nc"
"11","2","1","c","c","nc","nc","nc","nc","nc","nc","nc","nc"
"11","2","2","c","nc| dans infolettre le label ne semble pas","nc","nc","nc","nc","nc","nc","nc","nc"
"11","2","3","c","nc| dans infolettre comme le label n‘est pas associé au input c‘est nc","nc","nc","nc","nc","nc","nc","nc","nc"
"11","2","4","nc","nc","nc","nc","nc","nc","nc","nc","nc","nc"
"11","2","5","nc","nc","nc","nc","nc","nc","nc","nc","nc","nc"
"11","2","6","na","na","nc","nc","nc","nc","nc","nc","nc","nc"
"11","5","1","na","na","nc","nc","nc","nc","nc","nc","nc","nc"
"11","6","1","na","na","nc","nc","nc","nc","nc","nc","nc","nc"
"11","9","1","c","c","nc","nc","nc","nc","nc","nc","nc","nc"
"11","9","2","c","c","nc","nc","nc","nc","nc","nc","nc","nc"
"11","10","1","c","c","nc","nc","nc","nc","nc","nc","nc","nc"
"11","10","2","c","nc| infolettre attribut required mais pas visuel avant saisie","nc","nc","nc","nc","nc","nc","nc","nc"
"11","10","3","c","nc| infolettre : pas de aria-invalid true -  pas de message - juste un cadre rouge","nc","nc","nc","nc","nc","nc","nc","nc"
"11","10","4","c","nc| infolettre : pas de aria-invalid true -  pas de message","nc","nc","nc","nc","nc","nc","nc","nc"
"11","10","5","c","nc| infolettre : pas de message pas d‘instructions","nc","nc","nc","nc","nc","nc","nc","nc"
"11","10","6","c","nc| infolettre : pas de message d‘erreur","nc","nc","nc","nc","nc","nc","nc","nc"
"11","10","7","c","nc| infolettre : pas de aria-invalid true - pas de message d‘erreur","nc","nc","nc","nc","nc","nc","nc","nc"
"12","8","1","c","c","nc","nc","nc","nc","nc","nc","nc","nc"
"12","8","2","c","c","nc","nc","nc","nc","nc","nc","nc","nc"
"12","9","1","c","c","nc","nc","nc","nc","nc","nc","nc","nc"
