"Thématiques","Critères","Tests","Home","Infolettre","About","FAQ","Sign Up","Newsletter Enrollment","Legal Notices","General Terms of Sale"
"1","1","1","c|les textes alternatifs sont présents pas en anglais sur la version française","c","c|le texte de l'image est en anglais","nc","nc","nc","nc","nc"
"1","1","2","na","na","na","nc","nc","nc","nc","nc"
"1","1","3","na","na","na","nc","nc","nc","nc","nc"
"1","1","4","na","na","na","nc","nc","nc","nc","nc"
"1","1","5","c","na","c","nc","nc","nc","nc","nc"
"1","1","6","na","na","na","nc","nc","nc","nc","nc"
"1","1","7","na","na","na","nc","nc","nc","nc","nc"
"1","1","8","na","na","na","nc","nc","nc","nc","nc"
"3","1","1","na","na","na","nc","nc","nc","nc","nc"
"3","1","2","na","na","na","nc","nc","nc","nc","nc"
"3","1","3","na","na","na","nc","nc","nc","nc","nc"
"3","1","4","na","nc|Inscription infolettre : les validation s de champs obligatoire ne se font qu'avec un cadre rouge","na","nc","nc","nc","nc","nc"
"3","1","5","c","c","c","nc","nc","nc","nc","nc"
"3","1","6","c","c","c","nc","nc","nc","nc","nc"
"4","1","1","na","na","na","nc","nc","nc","nc","nc"
"4","1","2","na","na","na","nc","nc","nc","nc","nc"
"4","1","3","na","na","na","nc","nc","nc","nc","nc"
"4","10","1","na","na","na","nc","nc","nc","nc","nc"
"5","3","1","na","na","na","nc","nc","nc","nc","nc"
"5","7","1","na","na","na","nc","nc","nc","nc","nc"
"5","7","2","na","na","na","nc","nc","nc","nc","nc"
"5","7","3","na","na","na","nc","nc","nc","nc","nc"
"5","7","4","na","na","na","nc","nc","nc","nc","nc"
"5","7","5","na","na","na","nc","nc","nc","nc","nc"
"6","1","1","c","c","c","nc","nc","nc","nc","nc"
"6","1","2","c","c","c","nc","nc","nc","nc","nc"
"6","1","3","c","c","c","nc","nc","nc","nc","nc"
"6","1","4","na","na","na","nc","nc","nc","nc","nc"
"6","1","5","c","c","c","nc","nc","nc","nc","nc"
"6","2","1","c","c","c","nc","nc","nc","nc","nc"
"7","1","1","c","c","c","nc","nc","nc","nc","nc"
"7","1","2","c","c","c","nc","nc","nc","nc","nc"
"7","1","3","c","c","c","nc","nc","nc","nc","nc"
"7","3","1","c","c","c","nc","nc","nc","nc","nc"
"7","3","2","c","c","c","nc","nc","nc","nc","nc"
"8","3","1","c","c","c","nc","nc","nc","nc","nc"
"8","4","1","nc| en fr les alt d'images sont en anglais","nc| infolettre a lang 'en' mais texte en fr","c","c","c","c","c","c"
"8","5","1","c","c","c","c","c","c","c","c"
"9","1","1","c","c","c","nc","nc","nc","nc","nc"
"9","1","2","c","c","c","nc","nc","nc","nc","nc"
"9","1","3","c","c","c","nc","nc","nc","nc","nc"
"10","3","1","c","c","c","c","c","c","c","c"
"10","6","1","na","na","na","na","na","na","na","na"
"10","7","1","c","c","c","c","c","c","c","c"
"11","1","1","c","c| dans l'iframe il y a un for sur le label mais cliquer dessus ne focus pas l'input","na","nc","na","na","na","na"
"11","1","2","c","nc| iframe il y a un name mais pas d'id","na","nc","na","na","na","na"
"11","1","3","na","na","na","nc","na","na","na","na"
"11","2","1","c","c","na","nc","na","na","na","na"
"11","2","2","c","nc| dans infolettre le label ne semble pas","na","nc","na","na","na","na"
"11","2","3","c","nc| dans infolettre comme le label n'est pas associé au input c'est nc","na","nc","na","na","na","na"
"11","2","4","nc","nc","na","nc","na","na","na","na"
"11","2","5","nc","nc","na","nc","na","na","na","na"
"11","2","6","na","na","na","nc","na","na","na","na"
"11","5","1","na","na","na","nc","na","na","na","na"
"11","6","1","na","na","na","nc","na","na","na","na"
"11","9","1","c","c","na","nc","na","na","na","na"
"11","9","2","c","c","na","nc","na","na","na","na"
"11","10","1","c","c","na","nc","na","na","na","na"
"11","10","2","c","nc| infolettre attribut required mais pas visuel avant saisie","na","nc","na","na","na","na"
"11","10","3","c","nc| infolettre : pas de aria-invalid true -  pas de message - juste un cadre rouge","na","nc","na","na","na","na"
"11","10","4","c","nc| infolettre : pas de aria-invalid true -  pas de message","na","nc","na","na","na","na"
"11","10","5","c","nc| infolettre : pas de message pas d'instructions","na","nc","na","na","na","na"
"11","10","6","c","nc| infolettre : pas de message d'erreur","na","nc","na","na","na","na"
"11","10","7","c","nc| infolettre : pas de aria-invalid true - pas de message d'erreur","na","nc","na","na","na","na"
"12","8","1","c","c","c","c","c","c","c","c"
"12","8","2","c","c","c","c","c","c","c","c"
"12","9","1","c","c","c","c","c","c","c","c"
